Date,HYG Returns,DBC Returns,VWO Returns,VGK Returns,GLD Returns,TLT Returns,VTI Returns,Portfolio Returns,Portfolio,VTI,,,,
4/11/07,,-0.001571718,-0.00280594,-0.004787949,-0.001191215,-0.000686223,-0.006378688,,#N/A,#N/A,,,VTI,Portfolio
4/12/07,0.000670813,0.00590317,0.012723298,0.008934734,-0.001341741,0.000228867,0.006559223,0.001583058,1,1,,Ret,0.000358226,0.000281726
4/13/07,-0.001819521,0.00547736,0.003261686,0.005585773,0.012688431,-0.003089557,0.003327537,0.002108284,1.001583058,1.006559223,,Std Dev,0.013445973,0.00537885
4/16/07,-0.000383763,-0.007782145,0.012522513,0.010974183,0.008254806,0.005509584,0.010087786,0.004246745,1.003694679,1.009908586,,,0.026641863,0.05237669
4/17/07,-0.000479926,-0.010196075,-0.003567547,0.000267997,-0.005847982,0.005593591,0.001573271,-0.000181881,1.007957115,1.020096327,,,,
4/18/07,0.000288052,0.000396209,-0.004654504,-0.000535929,0.005588191,0.004994924,0.000887891,0.003067935,1.007773787,1.021701215,,,,
4/19/07,0.003455895,-0.002772283,-0.006714697,-0.002144707,-0.012430507,-0.001694365,-0.001842407,-0.003196771,1.010865571,1.022608374,,,,
4/20/07,-0.000573974,0.013899947,0.014968706,0.012896261,0.017325604,-0.002602354,0.008887091,0.005240994,1.007634066,1.020724314,,,,
4/23/07,0.000574304,0.00665884,-0.004162688,-0.007692331,-0.006404585,0.00363018,-0.001965096,0.000404944,1.01291507,1.029795584,,,,
4/24/07,0.006887986,-0.013618703,0.000716565,0.00120294,-0.007764415,0.003730091,-0.000135716,-0.000227701,1.013325243,1.027771937,,,,
4/25/07,0.001520232,0.019723874,0.014202185,0.009478041,0.002362262,-0.003491048,0.008895216,0.002708916,1.013094508,1.027632452,,,,
4/26/07,0.001802432,-0.006963269,-0.013415009,-0.005686341,-0.015024245,-0.007232448,0.000336539,-0.006734207,1.015838896,1.036773465,,,,
4/27/07,0,0.005064235,-0.004055278,0.001329944,0.010318453,-0.000227616,-0.001076525,0.00240668,1.008998027,1.03712238,,,,
4/30/07,9.47E-05,-0.008914689,-0.019520937,-0.003851785,-0.006956809,0.010474757,-0.008823322,0.000468981,1.011426362,1.036005892,,,,
5/1/07,0.000123518,0.001955438,0.00708433,-0.000133359,-0.005962051,0.000723703,0.002242475,-0.000384857,1.011900702,1.026864879,,,,
5/2/07,-0.000379758,-0.007806405,0.019284462,0.006534275,-0.000449813,-0.000564984,0.00739031,1.23E-05,1.011511264,1.029167598,,,,
5/3/07,9.50E-05,0.004720719,0.009876286,-0.00105991,0.012451154,-0.002261476,0.00444207,0.002712747,1.011523693,1.036773465,,,,
5/4/07,0.001234543,-0.001957775,0.003770456,0.013262612,0.010371967,0.004079791,0.002948197,0.004401617,1.014267701,1.041378885,,,,
5/7/07,-9.49E-05,-0.004707674,0.003521481,0.000523564,0.000879865,0.002708778,0.001603443,0.000929731,1.018732119,1.044449075,,,,
5/8/07,0.000758887,-0.006306738,-0.009006842,-0.010465758,-0.005421289,-0.002251202,-0.001000482,-0.003097903,1.019679266,1.04612379,,,,
5/9/07,-0.002654026,-0.005156641,0.012039616,0.002115337,-0.006334709,-0.00394855,0.003538744,-0.003219089,1.016520398,1.045077163,,,,
5/10/07,0.003611449,-0.003987243,-0.024842529,-0.023746746,-0.021497362,0.002378518,-0.012574846,-0.005417939,1.013248128,1.048775424,,,,
5/11/07,0.000568246,0.01481186,0.026193087,0.022567537,0.006818136,-0.003502792,0.009365949,0.003673705,1.007758412,1.035587235,,,,
5/14/07,-9.47E-05,-0.003550285,-0.006293732,-0.005946822,-0.002558285,-0.002608043,-0.003003993,-0.002448063,1.011460619,1.045286492,,,,
