Date,Open,High,Low,Close,Volume,Adj Close
2006-02-07,126.379997,126.660004,125.400002,125.480003,71208100,101.152686
2006-02-08,125.849998,128.100006,125.599998,126.620003,59422200,102.071669
2006-02-09,126.91999799999999,127.599998,126.370003,126.410004,62023300,101.902383
2006-02-10,126.43,127.129997,125.449997,126.639999,64508700,102.087788
2006-02-13,126.599998,126.790001,125.949997,126.410004,52308700,101.902383
2006-02-14,126.459999,128.029999,126.209999,127.75,90964400,102.982589
2006-02-15,127.68,128.320007,127.239998,128.199997,85471300,103.345343
2006-02-16,128.33999599999999,129.21000700000002,128.179993,129.16000400000001,61017900,104.119229
2006-02-17,129.050003,129.16000400000001,128.580002,128.809998,40342600,103.83708
2006-02-21,129.110001,129.399994,128.28999299999998,128.490005,46456300,103.579126
2006-02-22,128.770004,129.649994,128.649994,129.270004,42326700,104.207904
2006-02-23,129.270004,129.639999,128.279999,129.080002,43423200,104.054738
2006-02-24,129.110001,129.479996,128.759995,129.41000400000001,36777400,104.320761
2006-02-27,129.399994,130.03999299999998,129.279999,129.46000700000002,35858600,104.361069
2006-02-28,129.199997,129.91000400000001,128.130005,128.229996,74394800,103.36952600000001
2006-03-01,128.600006,129.490005,128.5,129.369995,48641600,104.28850899999999
2006-03-02,128.899994,129.419998,128.610001,129.360001,60642300,104.280452
2006-03-03,128.669998,130.070007,128.649994,128.759995,73402500,103.79677099999999
2006-03-06,129.139999,129.179993,127.849998,128.169998,57478400,103.32115999999999
2006-03-07,127.860001,128.059998,127.400002,127.970001,61780800,103.159937
2006-03-08,127.699997,128.440002,127.18,128.240005,66692400,103.377595
2006-03-09,128.279999,128.679993,127.379997,127.379997,56313600,102.68432
2006-03-10,127.709999,128.83999599999999,127.440002,128.58999599999999,60490800,103.65973199999999
2006-03-13,128.83999599999999,129.16000400000001,128.529999,128.830002,45479100,103.853206
2006-03-14,128.71000700000002,130.229996,128.610001,130.179993,69877300,104.941469
2006-03-15,130.149994,130.860001,129.850006,130.759995,53398900,105.409023
2006-03-16,131.009995,131.470001,130.83999599999999,131.029999,65526400,105.626681
2006-03-17,130.679993,130.899994,130.380005,130.619995,47286800,105.714897
2006-03-20,130.639999,130.899994,130.21000700000002,130.41000400000001,45538500,105.544944
2006-03-21,130.369995,130.990005,129.449997,129.58999599999999,87102700,104.88128600000002
2006-03-22,129.509995,130.509995,129.449997,130.380005,51605700,105.520665
2006-03-23,130.259995,130.389999,129.66000400000001,130.110001,46704200,105.30214199999999
2006-03-24,129.990005,130.570007,129.740005,130.21000700000002,43209200,105.38308
2006-03-27,130.029999,130.279999,129.740005,130.020004,32523000,105.22930500000001
2006-03-28,129.929993,130.529999,129.050003,129.220001,82079900,104.581838
2006-03-29,129.41000400000001,130.5,129.28999299999998,130.029999,61505700,105.237394
2006-03-30,130.110001,130.979996,129.550003,129.800003,70571700,105.05125100000001
2006-03-31,130.020004,130.240005,129.369995,129.830002,62925600,105.07553
2006-04-03,130.070007,130.869995,129.490005,129.729996,61624700,104.994592
2006-04-04,129.729996,130.729996,129.360001,130.559998,54809300,105.666339
2006-04-05,130.610001,131.279999,130.380005,131.009995,50607200,106.03053600000001
2006-04-06,130.850006,131.21000700000002,130.190002,130.869995,57906200,105.91723
2006-04-07,131.059998,131.399994,129.350006,129.53999299999998,80180900,104.840817
2006-04-10,129.740005,130.080002,129.259995,129.740005,41496500,105.002693
2006-04-11,129.850006,130.059998,128.25,128.639999,72799400,104.112424
2006-04-12,128.770004,129.130005,128.610001,128.880005,43033700,104.306668
2006-04-13,128.58999599999999,129.25,128.309998,128.71000700000002,51051800,104.169083
2006-04-17,128.830002,129.309998,128.020004,128.66000400000001,64167700,104.128614
2006-04-18,128.929993,130.940002,128.929993,130.699997,92531800,105.779645
2006-04-19,130.75,131.070007,130.240005,130.949997,87269000,105.981978
2006-04-20,131.0,131.860001,130.600006,131.130005,86005500,106.127664
2006-04-21,131.690002,131.78999299999998,130.619995,131.149994,72342600,106.14384199999999
2006-04-24,130.889999,131.070007,130.380005,130.91000400000001,52546400,105.94961
2006-04-25,131.03999299999998,131.119995,129.919998,130.369995,84359800,105.51256399999998
2006-04-26,130.5,131.139999,130.300003,130.399994,67262400,105.53684299999999
2006-04-27,129.899994,131.630005,129.58999599999999,131.029999,124478600,106.046726
2006-04-28,130.78999299999998,131.75,130.71000700000002,131.470001,55854400,106.40283400000001
2006-05-01,131.470001,131.800003,130.320007,130.399994,64990300,105.53684299999999
2006-05-02,131.009995,131.46000700000002,130.740005,131.380005,49063500,106.32999699999999
2006-05-03,131.149994,131.320007,130.449997,130.889999,60821300,105.93342
2006-05-04,131.080002,131.619995,130.970001,131.360001,42921400,106.31380700000001
2006-05-05,132.050003,132.800003,131.850006,132.520004,62588200,107.25263400000001
2006-05-08,132.509995,132.770004,132.360001,132.360001,30016700,107.12313799999998
2006-05-09,132.419998,132.770004,132.309998,132.619995,29864000,107.33356
