Date,HYG Returns,DBC Returns,VGK Returns,GLD Returns,TLT Returns,VTI Returns,Portfolio Returns,,VTI,Portfolio,,,,
4/11/07,,-0.001571718,-0.004787941,-0.001191215,-0.000686226,-0.006378681,#N/A,,#N/A,#N/A,,,VTI,Portfolio
4/12/07,0.000670813,0.00590317,0.008934728,-0.001341741,0.000228873,0.006559221,0.001736669,,1,1,,Average,0.000350873,0.000274855
4/13/07,-0.001819524,0.00547736,0.005585778,0.012688431,-0.003089565,0.003327521,0.003175007,,1.006559221,1.001736669,,Std,0.013442006,0.00571249
4/16/07,-0.00038379,-0.007782145,0.010974192,0.008254806,0.005509596,0.010087811,0.004970117,,1.009908567,1.00491719,,Ratio,0.026102691,0.048114729
4/17/07,-0.000479912,-0.010196075,0.000267981,-0.005847982,0.005593574,0.001573261,-0.000469227,,1.020096334,1.009911745,,,,
4/18/07,0.000288063,0.000396209,-0.000535918,0.005588191,0.004994924,0.000887889,0.003175208,,1.021701212,1.009437868,,,,
4/19/07,0.00345589,-0.002772283,-0.00214472,-0.012430507,-0.00169435,-0.001842407,-0.003773648,,1.02260837,1.012643043,,,,
4/20/07,-0.000573976,0.013899947,0.01289628,0.017325604,-0.002602349,0.008887094,0.006592967,,1.020724309,1.008821684,,,,
4/23/07,0.000574306,0.00665884,-0.007692331,-0.006404585,0.003630172,-0.0019651,-0.000489361,,1.029795582,1.015472812,,,,
4/24/07,0.006887995,-0.013618703,0.001202939,-0.007764415,0.003730086,-0.000135704,-0.000893132,,1.027771931,1.014975879,,,,
4/25/07,0.001520226,0.019723874,0.009478028,0.002362262,-0.003491037,0.008895205,0.003143607,,1.027632457,1.014069372,,,,
4/26/07,0.001802436,-0.006963269,-0.00568633,-0.015024245,-0.007232448,0.000336535,-0.006912826,,1.036773458,1.017257207,,,,
4/27/07,0,0.005064235,0.001329944,0.010318453,-0.000227638,-0.001076514,0.002974256,,1.037122369,1.010225085,,,,
4/30/07,9.47E-05,-0.008914689,-0.003851785,-0.006956809,0.010474767,-0.008823326,-0.000335471,,1.036005892,1.013229753,,,,
5/1/07,0.000123397,0.001955438,-0.000133361,-0.005962051,0.000723716,0.002242472,-0.000835037,,1.026864874,1.012889844,,,,
5/2/07,-0.000379771,-0.007806405,0.006534277,-0.000449813,-0.000564988,0.007390311,0.000177319,,1.02916759,1.012044044,,,,
5/3/07,9.50E-05,0.004720719,-0.001059907,0.012451154,-0.002261477,0.004442081,0.003225084,,1.036773458,1.012223499,,,,
5/4/07,0.001234541,-0.001957775,0.013262599,0.010371967,0.004079791,0.002948172,0.005238166,,1.04137889,1.015488005,,,,
5/7/07,-9.49E-05,-0.004707674,0.000523572,0.000879865,0.002708779,0.001603468,0.000864273,,1.044449055,1.0208073,,,,
5/8/07,0.000758893,-0.006306738,-0.010465764,-0.005421289,-0.002251202,-0.001000501,-0.003455467,,1.046123796,1.021689556,,,,
5/9/07,-0.002654018,-0.005156641,0.00211533,-0.006334709,-0.003948531,0.003538757,-0.003233948,,1.045077148,1.018159141,,,,
5/10/07,0.003611463,-0.003987243,-0.02374674,-0.021497362,0.002378507,-0.012574843,-0.007531212,,1.048775422,1.014866468,,,,
5/11/07,0.000568218,0.01481186,0.022567543,0.006818136,-0.003502789,0.00936594,0.004681042,,1.035587236,1.007223293,,,,
5/14/07,-9.47E-05,-0.003550285,-0.005946835,-0.002558285,-0.002608055,-0.003003987,-0.00259833,,1.045286484,1.011938148,,,,
5/15/07,-0.000757241,0.009897054,0.002392985,0.003922782,-0.000341041,-0.002678336,0.001578728,,1.042146457,1.009308799,,,,
5/16/07,0.002652259,-0.009800062,0.003182996,-0.014126886,-0.000682331,0.008593483,-0.00315353,,1.039355239,1.010902223,,,,
5/17/07,-0.000283401,0.008313473,-0.001718632,-0.008231708,-0.00409697,-0.00239634,-0.00305886,,1.04828692,1.007714312,,,,
5/18/07,0.000283481,-0.001570402,0.012448615,0.007070381,-0.006627839,0.00747322,0.001203667,,1.045774868,1.004631855,,,,
5/21/07,0.000944726,0.009830892,-0.007717416,0.002289393,0.00299094,0.002847821,0.002336746,,1.053590174,1.005841097,,,,
5/22/07,9.44E-05,-0.01440815,0.0002636,-0.007157013,-0.005161193,-0.000132115,-0.004811515,,1.05659061,1.008191493,,,,
5/23/07,-0.000755007,0.004741277,0.005403316,0.005214786,-0.002882186,-0.000528305,0.001038709,,1.056451019,1.003340565,,,,
5/24/07,0.000283395,-0.005505319,-0.009962015,-0.012053723,0.000924986,-0.010243219,-0.005005538,,1.05589289,1.004382743,,,,
5/25/07,0.001416239,0.012257827,0.006619886,0.002934394,-0.002310232,0.004874121,0.002331702,,1.045077148,0.999355267,,,,
5/29/07,-0.003959999,-0.021875001,-0.00052612,0.002001817,-0.0001158,0.003986741,-0.001781426,,1.050170981,1.001685465,,,,
5/30/07,0.002271845,0.009584677,0.004737473,-0.005378807,0.002084303,0.008603489,0.001814591,,1.05435774,0.999901037,,,,
5/31/07,-0.001605577,0.00909806,0.003274394,0.012669963,-0.001848902,0.00157485,0.003591093,,1.063428895,1.001715448,,,,
6/1/07,-0.000133086,0.007448091,0.005483005,0.013732087,-0.005253251,0.004061811,0.003230888,,1.065103636,1.005312702,,,,
6/4/07,0.000856211,0.008949375,0.006362054,0.001505102,0.00455669,0.001631214,0.003475855,,1.069429885,1.008560754,,,,
6/5/07,-0.001425791,-0.003856539,-0.009676171,-0.002554824,-0.006280542,-0.005081099,-0.004523087,,1.071174354,1.012066365,,,,
6/6/07,-0.001237544,-0.000387159,-0.015112084,0.000602697,-0.000468169,-0.010214082,-0.002412989,,1.065731611,1.007488701,,,,
6/7/07,-0.004670214,0.005034895,-0.023809465,-0.017316698,-0.017915676,-0.019712879,-0.014284121,,1.054846141,1.005057642,,,,
6/8/07,-0.002681213,-0.017726436,0.013685563,-0.01593627,-0.000834625,0.013698622,-0.003875462,,1.034052087,0.990701277,,,,
6/11/07,-0.00211234,0.019223221,0.0017378,0.007474245,-0.002864038,0.001198194,0.002666047,,1.048217175,0.986861851,,,,
6/12/07,-0.005099574,-0.002694345,-0.017080314,-0.009273555,-0.014480595,-0.012300477,-0.010644675,,1.049473143,0.989492871,,,,
6/13/07,0.001740816,0.012736356,0.016019451,0.006708284,0.011900472,0.015617595,0.00985656,,1.036564122,0.978960041,,,,
6/14/07,0.000772366,0.009527463,0.007749891,0.001084751,-0.0025201,0.007158493,0.00177136,,1.052752761,0.988609219,,,,
6/15/07,-0.000192985,0.00604001,0.015645722,0.003869969,0.006857563,0.005330682,0.005474068,,1.060288884,0.990360403,,,,
6/18/07,0.000578897,0,0.000913834,0.001542005,-0.002031382,-0.001571028,-0.000289549,,1.065940947,0.995781703,,,,
6/19/07,0.001253673,-0.009756094,0.004304184,0.008160216,0.009339153,0.00275372,0.005000218,,1.064266324,0.995493376,,,,
6/20/07,-0.008860627,0.001136791,-0.012987013,-0.011759376,-0.008066424,-0.013142464,-0.009152502,,1.067197016,1.00047106,,,,
6/21/07,0.001846225,-0.004542039,0.005657899,-0.00231805,-0.004783557,0.004969188,-0.001359348,,1.053171417,0.991314246,,,,
6/22/07,0.001939915,-0.002281362,-0.013214734,0.003407698,0.00648882,-0.008438814,0.001197299,,1.058404824,0.989966705,,,,
6/25/07,-0.005808382,-0.003810977,-0.000662895,-0.005402887,0.005491885,-0.007067963,-0.001563373,,1.049473143,0.991151991,,,,
6/26/07,0.002921149,-0.01147663,-0.003051656,-0.012571799,0.000237427,-0.0081334,-0.004790444,,1.042055505,0.989602451,,,,
6/27/07,-0.003495153,-0.001548037,0.006121894,0.000785901,0.000949693,0.014773705,0.001845247,,1.033580051,0.984861816,,,,
6/28/07,-0.005261099,-0.003100752,0.002910069,0.009266594,-0.000237161,-0.000133605,0.001380203,,1.048849858,0.986679129,,,,
6/29/07,-0.002840367,-0.000777549,0.006726485,0.00015554,0.010320228,-0.002270873,0.003191271,,1.048709726,0.988040946,,,,
7/2/07,0.007835414,0.006225675,0.011397815,0.01166952,0.005256762,0.011581165,0.008459142,,1.046328239,0.991194052,,,,
7/3/07,-0.001862763,0.001160049,0.007124391,-0.004306352,-0.006096903,0.004301459,-0.002272291,,1.058445939,0.999578703,,,,
7/5/07,-0.003634168,0.00926996,-0.002958242,-0.004942848,-0.011206745,-0.000527146,-0.004871418,,1.062998801,0.99730737,,,,
7/6/07,0.001084394,0.008419509,0.006321019,0.008382506,-0.00405628,0.00553805,0.00276816,,1.062438445,0.992449068,,,,
7/9/07,0.003052648,-0.002277033,0.004358369,0.006465487,0.003593629,-0.000524535,0.003314071,,1.068322283,0.995196327,,,,
7/10/07,-0.002650724,0.007227034,-0.015315852,0.003517957,0.016949121,-0.013710299,0.004150323,,1.06776191,0.998494478,,,,
7/11/07,-0.00748101,0.002265894,0.013609792,-0.002591053,-0.0103286,0.007316212,-0.003166274,,1.053122575,1.002638553,,,,
7/12/07,0.002975256,0.002637533,0.016751984,0.008863004,-0.00343929,0.015120548,0.004611863,,1.060827443,0.999463924,,,,
7/13/07,0.00415314,0.001503164,-0.002389667,0.0001515,0.002737164,0.002992015,0.001829838,,1.076867735,1.004073315,,,,
7/16/07,0.000393832,-0.017635995,-0.005925381,-0.003180357,0.009613074,-0.000713368,0.000258459,,1.080089739,1.005910607,,,,
7/17/07,0.001181241,-0.00611153,0.000634153,-0.001063507,-0.002115913,-0.000584045,-0.001368085,,1.079319237,1.006170594,,,,
7/18/07,-0.007472259,0.011529557,-0.005069727,0.013231985,0.00376957,-0.002272762,0.003906519,,1.078688866,1.004794067,,,,
7/19/07,0.001089658,0.003419443,0.001401282,0.005854083,-0.000234665,0.002408128,0.002229763,,1.076237263,1.008719314,,,,
7/20/07,-0.002572666,-0.000378656,-0.008268687,0.008506193,0.009038577,-0.008959898,0.003132303,,1.07882898,1.010968519,,,,
7/23/07,-0.002182559,-0.004545401,0.003976367,-0.001627715,-0.001628658,0.001965425,-0.001190072,,1.069162783,1.014135179,,,,
7/24/07,-0.005766564,-0.007610393,-0.019803189,0,0.003728736,-0.017523259,-0.003646719,,1.071264142,1.012928285,,,,
7/25/07,-0.009499976,0.008819018,-0.001694536,-0.008448184,0.0019735,0.000199649,-0.002173041,,1.052492103,1.009234421,,,,
7/26/07,-0.014134284,-0.010642283,-0.031335607,-0.018684603,0.008342039,-0.023687534,-0.009855013,,1.052702232,1.007041313,,,,
7/27/07,-0.01669233,0.009604287,-0.020757526,-0.00365572,0.002872585,-0.018810026,-0.005076131,,1.027766312,0.997116908,,,,
7/30/07,0.009685491,-0.01141557,0.014452794,0.005503638,-0.002864357,0.014794784,0.003443395,,1.008434002,0.992055413,,,,
7/31/07,0.003403846,0.008083197,0.006241609,0.000304151,0.007238942,-0.013689254,0.002740449,,1.023353565,0.995471451,,,,
8/1/07,-0.002069385,-0.001527349,0.007416336,0.002127968,-0.002164559,0.005898631,0.000542021,,1.009344618,0.99819949,,,,
8/2/07,0.005702461,0.001529685,0.000535416,-0.000606719,0.002524974,0.00848565,0.002594899,,1.015298369,0.998740536,,,,
8/3/07,0,-0.011072961,-0.01859531,0.012141494,0.006639966,-0.025995273,9.73E-05,,1.023913836,1.001332166,,,,
